	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU3139	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
OTU3140	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	NA	NA
OTU3141	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita manicata
OTU3142	NA	NA	NA	NA	NA	NA	NA
OTU3143	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
OTU3144	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala phaeomuriformis
OTU3145	Fungi	NA	NA	NA	NA	NA	NA
OTU3148	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	Trametes hirsuta
OTU3149	Ichthyosporia	NA	NA	NA	NA	NA	NA
OTU3150	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Leptospora	Leptospora macarangae
OTU3151	Fungi	Basidiomycota	Agaricomycetes	Phallales	Phallaceae	NA	NA
OTU3152	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	NA	NA
OTU3154	Fungi	Basidiomycota	Agaricomycetes	NA	NA	NA	NA
OTU3157	Fungi	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Ruineniaceae	Ruinenia	Ruinenia bangxiensis
OTU3158	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	NA	NA
OTU3159	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	NA
OTU3160	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Zygosporium	Zygosporium oscheoides
OTU3161	NA	NA	NA	NA	NA	NA	NA
OTU3162	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	Sarocladium	Sarocladium subulatum
OTU3163	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
OTU3164	Fungi	Ascomycota	Leotiomycetes	Rhytismatales	NA	NA	NA
OTU3167	Fungi	Glomeromycota	Glomeromycetes	Glomerales	NA	NA	NA
OTU3168	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	Pseudorobillarda	NA
OTU3170	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Phialophora	Phialophora verrucosa
OTU3171	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	NA
OTU3172	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU3174	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	NA
OTU3175	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	NA
OTU3176	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Phaeotremellaceae	Phaeotremella	NA
OTU3177	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU3178	NA	NA	NA	NA	NA	NA	NA
OTU3179	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Periconiaceae	Periconia	Periconia macrospinosa
OTU3181	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU3182	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	NA	NA
OTU3183	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
OTU3184	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Cyphellophoraceae	Cyphellophora	NA
OTU3185	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
OTU3186	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU3187	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Thermoascaceae	Byssochlamys	NA
OTU3189	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU3190	Choanoflagellozoa	Choanoflagellata	NA	Choanoflagellida	NA	NA	NA
OTU3191	Fungi	Rozellomycota	NA	NA	NA	NA	NA
OTU3193	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Sphaerellopsis	Sphaerellopsis paraphysata
OTU3194	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Arachnomycetaceae	Arachnomyces	Arachnomyces gracilis
OTU3196	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	NA	NA
OTU3198	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
OTU3199	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	NA	NA
OTU3202	NA	NA	NA	NA	NA	NA	NA
OTU3203	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU3205	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
OTU3206	Fungi	Ascomycota	Lecanoromycetes	Caliciales	Caliciaceae	Dirinaria	NA
OTU3207	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
OTU3208	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Trichomerium	Trichomerium flexuosum
OTU3209	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU3211	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
OTU3212	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	NA	NA
OTU3213	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	NA	NA
OTU3214	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	NA	NA
OTU3215	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Aporpiaceae	Aporpium	Aporpium miniporum
OTU3216	Fungi	Rozellomycota	NA	NA	NA	NA	NA
OTU3217	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	NA
OTU3218	Fungi	NA	NA	NA	NA	NA	NA
OTU3219	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	NA	NA	NA
OTU3220	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Tylosporaceae	Amphinema	NA
OTU3221	Fungi	NA	NA	NA	NA	NA	NA
OTU3222	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Scytalidium	NA
OTU3223	Fungi	NA	NA	NA	NA	NA	NA
OTU3226	Fungi	Ascomycota	Dothideomycetes	Tubeufiales	Tubeufiaceae	Helicoma	NA
OTU3227	NA	NA	NA	NA	NA	NA	NA
OTU3228	Ichthyosporia	NA	NA	NA	NA	NA	NA
OTU3230	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
OTU3231	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	NA	NA
OTU3232	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Stephanonectria	NA
OTU3233	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU3235	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	NA
OTU3236	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Penicillifer	Penicillifer martinii
OTU3237	Fungi	Ascomycota	Pezizomycetes	Pezizales	NA	Trichobolus	NA
OTU3238	NA	NA	NA	NA	NA	NA	NA
OTU3239	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	NA	NA
OTU3240	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Thermoascaceae	Byssochlamys	NA
OTU3241	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium terrigenum
OTU3242	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Verrucaria	NA
OTU3243	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	NA	NA	NA
OTU3244	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
OTU3246	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Ceratobasidium	NA
OTU3247	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
OTU3248	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Tulostoma	NA
OTU3249	Fungi	NA	NA	NA	NA	NA	NA
OTU3250	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Capnodiaceae	Capnodium	NA
OTU3251	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	NA	NA	NA
OTU3252	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormiella	NA
OTU3254	Fungi	Glomeromycota	NA	NA	NA	NA	NA
OTU3255	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU3257	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	NA	NA
OTU3258	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	Curvularia protuberata
OTU3259	Fungi	Ascomycota	Sordariomycetes	Togniniales	Togniniaceae	Phaeoacremonium	NA
OTU3260	Fungi	NA	NA	NA	NA	NA	NA
OTU3261	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleraceae	Bullera	NA
OTU3262	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Hypoxylon	Hypoxylon bellicolor
OTU3263	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	Trichobotrys	Trichobotrys effusa
OTU3264	Fungi	Ascomycota	Dothideomycetes	Capnodiales	NA	NA	NA
OTU3265	Fungi	NA	NA	NA	NA	NA	NA
OTU3266	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	NA	NA
OTU3267	Fungi	Glomeromycota	Glomeromycetes	Diversisporales	NA	Entrophospora	NA
OTU3269	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Halotthiaceae	Sulcosporium	Sulcosporium thailandicum
OTU3270	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Neosetophoma	NA
OTU3271	Fungi	Ascomycota	Sordariomycetes	Phomatosporales	Phomatosporaceae	NA	NA
OTU3272	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Dissoconiaceae	Dissoconium	NA
OTU3274	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Capnodiaceae	Leptoxyphium	Leptoxyphium glochidion
OTU3275	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Teichosporaceae	NA	NA
OTU3276	Fungi	Ascomycota	Leotiomycetes	Helotiales	Vibrisseaceae	NA	NA
OTU3278	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
OTU3279	Fungi	Basidiomycota	Cystobasidiomycetes	NA	Symmetrosporaceae	Symmetrospora	Symmetrospora suhii
OTU3280	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	NA	NA
OTU3281	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
OTU3282	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU3283	Fungi	NA	NA	NA	NA	NA	NA
OTU3284	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	NA	NA
OTU3285	Fungi	Basidiomycota	Agaricomycetes	Boletales	Pisolithaceae	Pisolithus	Pisolithus arhizus
OTU3286	Fungi	Basidiomycota	Agaricomycetes	Russulales	Hericiaceae	Laxitextum	Laxitextum bicolor
OTU3288	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
OTU3289	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Leptoparies	Leptoparies palmarum
OTU3291	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Peniophora	NA
OTU3292	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium	Cystofilobasidium macerans
OTU3293	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	NA	NA
OTU3294	Fungi	NA	NA	NA	NA	NA	NA
OTU3295	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	NA
OTU3296	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
OTU3297	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Thermoascaceae	Byssochlamys	NA
OTU3298	Fungi	Glomeromycota	Archaeosporomycetes	Archaeosporales	Archaeosporaceae	NA	NA
OTU3299	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	NA	NA
OTU3300	Fungi	Basidiomycota	Agaricomycetes	NA	NA	NA	NA
OTU3302	Fungi	Glomeromycota	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	NA
OTU3303	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
OTU3304	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
OTU3305	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	NA	NA
OTU3306	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
OTU3307	Fungi	NA	NA	NA	NA	NA	NA
OTU3308	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Sistotrema	NA
OTU3309	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	Coniochaeta polymorpha
OTU3310	NA	NA	NA	NA	NA	NA	NA
OTU3311	Fungi	Ascomycota	Eurotiomycetes	NA	NA	NA	NA
OTU3314	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
OTU3315	Fungi	NA	NA	NA	NA	NA	NA
OTU3316	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
OTU3317	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU3318	Fungi	Ascomycota	NA	NA	NA	Melanophoma	NA
OTU3319	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU3320	Fungi	Mucoromycota	Endogonomycetes	Endogonales	NA	NA	NA
OTU3321	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
OTU3322	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Microcera	Microcera larvarum
OTU3323	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU3324	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU3325	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
OTU3326	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Periconiaceae	Noosia	Noosia banksiae
OTU3327	Fungi	NA	NA	NA	NA	NA	NA
OTU3328	Fungi	Ascomycota	Dothideomycetes	Valsariales	Valsariaceae	Valsaria	Valsaria insitiva
OTU3329	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	NA	NA
OTU3330	Fungi	Glomeromycota	NA	NA	NA	NA	NA
OTU3331	Fungi	NA	NA	NA	NA	NA	NA
OTU3332	Fungi	NA	NA	NA	NA	NA	NA
OTU3333	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pleurotaceae	Hohenbuehelia	NA
OTU3334	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	NA
OTU3335	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	NA
OTU3337	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
OTU3338	Fungi	Glomeromycota	Glomeromycetes	Glomerales	NA	NA	NA
OTU3339	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU3340	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU3341	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	NA	NA
OTU3342	Fungi	Ascomycota	Sordariomycetes	Xylariales	Amphisphaeriaceae	Microdochium	Microdochium neoqueenslandicum
OTU3344	Fungi	Glomeromycota	NA	NA	NA	NA	NA
OTU3345	Fungi	Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae	Limonomyces	NA
