Name	[i5]	[i7]	Lane	Set_num
R-T0-D052	ITS	None	141	R1
R-T0-D054	ITS	None	225	R1
R-T0-D061	ITS	None	236	R1
R-T0-D063	ITS	None	81	R1
R-T0-D064	ITS	None	110	R1
R-T0-D074	ITS	None	150	R1
R-T0-D083	ITS	None	109	R1
R-T0-D092	ITS	None	181	R1
R-T0-D093	ITS	None	252	R1
R-T0-D102	ITS	None	226	R1
R-T0-D103	ITS	None	188	R1
R-T0-D111	ITS	None	291	R1
R-T0-D112	ITS	None	167	R1
R-T0-D114	ITS	None	100	R1
R-T0-D121	ITS	None	156	R1
R-T0-D123	ITS	None	84	R1
R-T0-D132	ITS	None	212	R1
R-T0-D133	ITS	None	251	R1
R-T0-D141	ITS	None	193	R1
R-T0-D142	ITS	None	108	R1
R-T0-D151	ITS	None	60	R1
R-T0-D152	ITS	None	69	R1
R-T0-D153	ITS	None	21	R1
R-T0-D154	ITS	None	151	R1
R-T0-LB011	ITS	None	202	R1
R-T0-LB012	ITS	None	201	R1
R-T0-LB021	ITS	None	48	R1
R-T0-LB022	ITS	None	234	R1
R-T0-LB041	ITS	None	91	R1
R-T0-LB042	ITS	None	133	R1
R-T0-LB051	ITS	None	173	R1
R-T0-LB052	ITS	None	169	R1
R-T0-LB061	ITS	None	165	R1
R-T0-LB062	ITS	None	217	R1
R-T0-LB072	ITS	None	28	R1
R-T0-LB081	ITS	None	27	R1
R-T0-LB082	ITS	None	240	R1
R-T0-LB101	ITS	None	300	R1
R-T0-LB111	ITS	None	154	R1
R-T0-LB112	ITS	None	247	R1
R-T0-MCC2	ITS	None	168	R1
R-T0-MCC4	ITS	None	135	R1
R-T0-MCH1	ITS	None	90	R1
R-T0-MGC1	ITS	None	271	R1
R-T0-MGC2	ITS	None	125	R1
R-T0-MGC4	ITS	None	171	R1
R-T0-MGH3	ITS	None	254	R1
R-T1-CCC1	ITS	None	20	R1
R-T1-CCC2	ITS	None	246	R1
R-T1-CCC3	ITS	None	149	R1
R-T1-CCH3	ITS	None	106	R1
R-T1-CCH4	ITS	None	127	R1
R-T1-CGC2	ITS	None	270	R1
R-T1-CGC3	ITS	None	101	R1
R-T1-CGC4	ITS	None	122	R1
R-T1-CGH1	ITS	None	31	R1
R-T1-CGH2	ITS	None	160	R1
R-T1-CGH4	ITS	None	164	R1
R-T1-D011	ITS	None	42	R1
R-T1-D014	ITS	None	29	R1
R-T1-D021	ITS	None	189	R1
R-T1-D023	ITS	None	128	R1
R-T1-D031	ITS	None	289	R1
R-T1-D034	ITS	None	123	R1
R-T1-D041	ITS	None	93	R1
R-T1-D042	ITS	None	59	R1
R-T1-D051	ITS	None	103	R1
R-T1-D054	ITS	None	45	R1
R-T1-D061	ITS	None	62	R1
R-T1-D062	ITS	None	272	R1
R-T1-D064	ITS	None	19	R1
R-T1-D072	ITS	None	2	R1
R-T1-D074	ITS	None	76	R1
R-T1-D084	ITS	None	9	R1
R-T1-D091	ITS	None	67	R1
R-T1-D092	ITS	None	166	R1
R-T1-D094	ITS	None	17	R1
R-T1-D102	ITS	None	126	R1
R-T1-D103	ITS	None	239	R1
R-T1-D111	ITS	None	207	R1
R-T1-D112	ITS	None	256	R1
R-T1-D113	ITS	None	64	R1
R-T1-D121	ITS	None	249	R1
R-T1-D122	ITS	None	25	R1
R-T1-D123	ITS	None	38	R1
R-T1-D124	ITS	None	230	R1
R-T1-D131	ITS	None	244	R1
R-T1-D134	ITS	None	33	R1
R-T1-D143	ITS	None	30	R1
R-T1-D152	ITS	None	190	R1
R-T1-D154	ITS	None	163	R1
R-T1-LB011	ITS	None	61	R1
R-T1-LB021	ITS	None	138	R1
R-T1-LB022	ITS	None	113	R1
R-T1-LB032	ITS	None	267	R1
R-T1-LB062	ITS	None	46	R1
R-T1-LB071	ITS	None	26	R1
R-T1-LB082	ITS	None	71	R1
R-T1-LB092	ITS	None	197	R1
R-T1-LB101	ITS	None	136	R1
R-T1-LB102	ITS	None	50	R1
R-T1-LB111	ITS	None	210	R1
R-T1-LB112	ITS	None	182	R1
R-T1-LB121	ITS	None	10	R1
R-T1-MCC1	ITS	None	117	R1
R-T1-MCC3	ITS	None	49	R1
R-T1-MCC4	ITS	None	191	R1
R-T1-MCH1	ITS	None	40	R1
R-T1-MCH2	ITS	None	209	R1
R-T1-MCH3	ITS	None	183	R1
R-T1-MCH4	ITS	None	177	R1
R-T1-MGC4	ITS	None	41	R1
R-T1-MGH3	ITS	None	198	R1
TAPWATER	ITS	None	297	R1
